city_ascii;lat;lng;iso2
Tokyo;35.6897;139.6922;JP
Jakarta;-6.2146;106.8451;ID
Delhi;28.66;77.23;IN
Mumbai;18.9667;72.8333;IN
Manila;14.5958;120.9772;PH
Shanghai;31.1667;121.4667;CN
Sao Paulo;-23.5504;-46.6339;BR
Seoul;37.5833;127;KR
Mexico City;19.4333;-99.1333;MX
Guangzhou;23.1288;113.259;CN
Beijing;39.905;116.3914;CN
Cairo;30.0561;31.2394;EG
New York;40.6943;-73.9249;US
Kolkata;22.5411;88.3378;IN
Moscow;55.7558;37.6178;RU
Bangkok;13.75;100.5167;TH
Buenos Aires;-34.5997;-58.3819;AR
Shenzhen;22.535;114.054;CN
Dhaka;23.7161;90.3961;BD
Lagos;6.45;3.4;NG
Istanbul;41.01;28.9603;TR
Osaka;34.6936;135.5019;JP
Karachi;24.86;67.01;PK
Bangalore;12.9699;77.598;IN
Tehran;35.7;51.4167;IR
Kinshasa;-4.3317;15.3139;CD
Ho Chi Minh City;10.8167;106.6333;VN
Los Angeles;34.1139;-118.4068;US
Rio de Janeiro;-22.9083;-43.1964;BR
Nanyang;32.9987;112.5292;CN
Chennai;13.0825;80.275;IN
Chengdu;30.6636;104.0667;CN
Lahore;31.5497;74.3436;PK
Paris;48.8566;2.3522;FR
London;51.5072;-0.1275;GB
Linyi;35.0606;118.3425;CN
Tianjin;39.1467;117.2056;CN
Shijiazhuang;38.0422;114.5086;CN
Baoding;38.8671;115.4845;CN
Zhoukou;33.625;114.6418;CN
Lima;-12.05;-77.0333;PE
Hyderabad;17.3667;78.4667;IN
Bogota;4.6126;-74.0705;CO
Weifang;36.7167;119.1;CN
Nagoya;35.1167;136.9333;JP
Wuhan;30.5872;114.2881;CN
Heze;35.2333;115.4333;CN
Ganzhou;25.8292;114.9336;CN
Tongshan;34.261;117.1859;CN
Chicago;41.8373;-87.6862;US
Handan;36.6116;114.4894;CN
Luanda;-8.8383;13.2344;AO
Fuyang;32.8986;115.8045;CN
Kuala Lumpur;3.1478;101.6953;MY
Jining;35.4;116.5667;CN
Dongguan;23.0475;113.7493;CN
Hanoi;21.0245;105.8412;VN
Pune;18.5196;73.8553;IN
Chongqing;29.55;106.5069;CN
Changchun;43.9;125.2;CN
Zhumadian;32.9773;114.0253;CN
Ningbo;29.875;121.5492;CN
Onitsha;6.1667;6.7833;NG
Nanjing;32.05;118.7667;CN
Hefei;31.8639;117.2808;CN
Ahmadabad;23.03;72.58;IN
Hong Kong;22.305;114.185;HK
Khartoum;15.6031;32.5265;SD
Nantong;31.9829;120.8873;CN
Yancheng;33.3936;120.1339;CN
Foshan;23.0292;113.1056;CN
Nanning;22.8192;108.315;CN
Hengyang;26.8968;112.5857;CN
Xi'an;34.2667;108.9;CN
Shenyang;41.8039;123.4258;CN
Tangshan;39.6292;118.1742;CN
Shaoyang;27.2418;111.4725;CN
Changsha;28.1987;112.9709;CN
Santiago;-33.45;-70.6667;CL
Zhengzhou;34.7492;113.6605;CN
Zhanjiang;21.1967;110.4031;CN
Riyadh;24.65;46.71;SA
Cangzhou;38.3037;116.8452;CN
Dar es Salaam;-6.8;39.2833;TZ
Maoming;21.6618;110.9178;CN
Huanggang;30.45;114.875;CN
Xinyang;32.1264;114.0672;CN
Shangrao;28.4419;117.9633;CN
Luoyang;34.6587;112.4245;CN
Bijie;27.3019;105.2863;CN
Yantai;37.3997;121.2664;CN
Quanzhou;24.9139;118.5858;CN
Hangzhou;30.25;120.1675;CN
Miami;25.7839;-80.2102;US
Kunming;25.0433;102.7061;CN
Nanchong;30.7991;106.0784;CN
Zunyi;27.705;106.9336;CN
